#bias=0.0000deg/s mode=2 q=0
t[s],vst_x[m],vst_y[m],car_x[m],car_y[m],vst_th[deg],car_th[deg],eth_d[rad/s],delta_fb[rad],v_car[m/s],v_vst[m/s],f_hat[m/s2],servo_delta[rad]
0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.0000
0.020,0.000,0.000,0.000,0.000,0.0,0.3,0.000,-0.005,0.000,0.000,0.000,-0.0052
0.040,0.000,0.000,0.000,0.000,0.0,-0.0,0.000,0.001,0.000,0.000,0.000,0.0009
0.060,0.000,0.000,0.000,0.000,0.0,2.1,0.000,-0.044,0.000,0.000,0.000,-0.0444
0.080,0.000,0.000,0.000,0.000,0.0,0.0,0.000,-0.001,0.000,0.000,0.000,-0.0005
0.100,0.000,0.000,0.000,0.000,0.0,0.4,0.000,-0.008,0.000,0.000,0.000,-0.0076
0.120,0.000,0.000,0.000,0.000,0.0,-0.0,0.000,0.000,0.000,0.000,0.000,0.0004
0.140,0.000,0.000,0.000,0.000,0.0,-2.1,0.000,0.043,0.000,0.000,0.000,0.0433
0.160,0.000,0.000,0.000,0.000,0.0,0.9,0.000,-0.019,0.000,0.000,0.000,-0.0186
0.180,0.000,0.000,0.000,0.000,0.0,-1.2,0.000,0.025,0.000,0.000,0.000,0.0246
0.200,0.000,0.000,0.000,0.000,0.0,-3.2,0.000,0.067,0.000,0.000,0.000,0.0666
0.220,0.000,0.000,0.000,0.000,0.0,-2.7,0.000,0.055,0.000,0.000,0.000,0.0551
0.240,0.000,0.000,0.000,0.000,0.0,-4.7,0.000,0.097,0.000,0.000,0.000,0.0969
0.260,0.000,0.000,0.000,0.000,0.0,-4.0,0.000,0.083,0.000,0.000,0.000,0.0835
0.280,0.000,0.000,0.000,0.000,0.0,-2.0,0.000,0.042,0.000,0.000,0.000,0.0417
0.300,0.000,0.000,0.000,0.000,0.0,0.0,0.000,-0.001,0.000,0.000,0.000,-0.0005
0.320,0.000,0.000,0.000,0.000,0.0,-1.9,0.000,0.039,0.000,0.000,0.000,0.0394
0.340,0.000,0.000,0.000,0.000,0.0,-0.2,0.000,0.003,0.000,0.000,0.000,0.0034
0.360,0.000,0.000,0.000,0.000,0.0,-0.5,0.000,0.011,0.000,0.000,0.000,0.0111
0.380,0.000,0.000,0.000,0.000,0.0,1.6,0.000,-0.034,0.000,0.000,0.000,-0.0339
0.400,0.000,0.000,0.000,0.000,0.0,0.8,0.000,-0.016,0.000,0.000,0.000,-0.0156
0.420,0.000,0.000,0.000,0.000,0.0,-1.8,0.000,0.037,0.000,0.000,0.000,0.0368
0.440,0.000,0.000,0.000,0.000,0.0,-2.7,0.000,0.055,0.000,0.000,0.000,0.0554
0.460,0.000,0.000,0.000,0.000,0.0,0.6,0.000,-0.012,0.000,0.000,0.000,-0.0121
0.480,0.000,0.000,0.000,0.000,0.0,-0.7,0.000,0.015,0.000,0.000,0.000,0.0154
0.500,0.000,0.000,0.000,0.000,0.0,-0.2,0.000,0.003,0.000,0.000,0.000,0.0032
0.520,0.000,0.000,0.000,0.000,0.0,-2.0,0.000,0.042,0.000,0.000,0.000,0.0421
0.540,0.000,0.000,0.000,0.000,0.0,-4.1,0.000,0.086,0.000,0.000,0.000,0.0856
0.560,0.000,0.000,0.000,0.000,0.0,-3.1,0.000,0.065,0.000,0.000,0.000,0.0647
0.580,0.000,0.000,0.000,0.000,0.0,-2.1,0.000,0.044,0.000,0.000,0.000,0.0438
0.600,0.000,0.000,0.000,0.000,0.0,-3.0,0.000,0.062,0.000,0.000,0.000,0.0622
0.620,0.000,0.000,0.000,0.000,0.0,-1.6,0.000,0.033,0.000,0.000,0.000,0.0329
0.640,0.000,0.000,0.000,0.000,0.0,-2.3,0.000,0.047,0.000,0.000,0.000,0.0468
0.660,0.000,0.000,0.000,0.000,0.0,-2.0,0.000,0.042,0.000,0.000,0.000,0.0417
0.680,0.000,0.000,0.000,0.000,0.0,-0.7,0.000,0.015,0.000,0.000,0.000,0.0151
0.700,0.000,0.000,0.000,0.000,0.0,-0.9,0.000,0.019,0.000,0.000,0.000,0.0189
0.720,0.000,0.000,0.000,0.000,0.0,-2.2,0.000,0.045,0.000,0.000,0.000,0.0450
0.740,0.000,0.000,0.000,0.000,0.0,-2.2,0.000,0.046,0.000,0.000,0.000,0.0458
0.760,0.000,0.000,0.000,0.000,0.0,-1.0,0.000,0.022,0.000,0.000,0.000,0.0216
0.780,0.000,0.000,0.000,0.000,0.0,-0.7,0.000,0.014,0.000,0.000,0.000,0.0138
0.800,0.000,0.000,0.000,0.000,0.0,-5.2,0.000,0.107,0.000,0.000,0.000,0.1075
0.820,0.000,0.000,0.000,0.000,0.0,-7.1,0.000,0.147,0.000,0.000,0.000,0.1470
0.840,0.000,0.000,0.000,0.000,0.0,-7.0,0.000,0.145,0.000,0.000,0.000,0.1455
