#pos-step kp=4.0 kd=4.0 b0=15.0 alpha=0.6 wo=8.0 dx=1.2m
t[s],rx[m],ins_x[m],ins_v[m/s],f_hat[m/s2]
0.000,0.000,0.000,0.000,0.000
0.020,0.000,0.000,0.000,0.000
0.040,0.000,0.000,0.000,0.000
0.060,0.000,0.000,0.000,0.000
0.080,0.000,0.000,0.000,0.000
0.100,0.000,0.000,0.000,0.000
0.120,0.000,0.000,0.000,0.000
0.140,0.000,0.000,0.000,0.000
0.160,0.000,0.000,0.000,0.000
0.180,0.000,0.000,0.000,0.000
0.200,0.000,0.000,0.000,0.000
0.220,0.000,0.000,0.000,0.000
0.240,0.000,0.000,0.000,0.000
0.260,0.000,0.000,0.000,0.000
0.280,0.000,0.000,0.000,0.000
0.300,0.000,0.000,0.000,0.000
0.320,0.000,0.000,0.000,0.000
0.340,0.000,0.000,0.000,0.000
0.360,0.000,0.000,0.000,0.000
0.380,0.000,0.000,0.000,0.000
0.400,0.000,0.000,0.000,0.000
0.420,0.000,0.000,0.000,0.000
0.440,0.000,0.000,0.000,0.000
0.460,0.000,0.000,0.000,0.000
0.480,0.000,0.000,0.000,0.000
0.500,0.000,0.000,0.000,0.000
0.520,0.000,0.000,0.000,0.000
0.540,0.000,0.000,0.000,0.000
0.560,0.000,0.000,0.000,0.000
0.580,0.000,0.000,0.000,0.000
0.600,0.000,0.000,0.000,0.000
0.620,0.000,0.000,0.000,0.000
0.640,0.000,0.000,0.000,0.000
0.660,0.000,0.000,0.000,0.000
0.680,0.000,0.000,0.000,0.000
0.700,0.000,0.000,0.000,0.000
0.720,0.000,0.000,0.000,0.000
0.740,0.000,0.000,0.000,0.000
0.760,0.000,0.000,0.000,0.000
0.780,0.000,0.000,0.000,0.000
0.800,0.000,0.000,0.000,0.000
0.820,0.000,0.000,0.000,0.000
0.840,0.000,0.000,0.000,0.000
0.860,0.000,0.000,0.000,0.000
0.880,0.000,0.000,0.000,0.000
0.900,0.000,0.000,0.000,0.000
0.920,0.000,0.000,0.000,0.000
0.940,0.000,0.000,0.000,0.000
0.960,0.000,0.000,0.000,0.000
0.980,0.000,0.000,0.000,0.000
1.000,0.000,0.000,0.000,0.000
1.020,0.000,0.000,0.000,0.000
1.040,0.000,0.000,0.000,0.000
1.060,0.000,0.000,0.000,0.000
1.080,0.000,0.000,0.000,0.000
1.100,0.000,0.000,0.000,0.000
1.120,0.000,0.000,0.000,0.000
1.140,0.000,0.000,0.000,0.000
1.160,0.000,0.000,0.000,0.000
1.180,0.000,0.000,0.000,0.000
1.200,0.000,0.000,0.000,0.000
1.220,0.000,0.000,0.000,0.000
1.240,0.000,0.000,0.000,0.000
1.260,0.000,0.000,0.000,0.000
1.280,0.000,0.000,0.000,0.000
1.300,0.000,0.000,0.000,0.000
1.320,0.000,0.000,0.000,0.000
1.340,0.000,0.000,0.000,0.000
1.360,0.000,0.000,0.000,0.000
1.380,0.000,0.000,0.000,0.000
1.400,0.000,0.000,0.000,0.000
1.420,0.000,0.000,0.000,0.000
1.440,0.000,0.000,0.000,0.000
1.460,0.000,0.000,0.000,0.000
1.480,0.000,0.000,0.000,0.000
1.500,0.000,0.000,0.000,0.000
1.520,0.000,0.000,0.000,0.000
1.540,0.000,0.000,0.000,0.000
1.560,0.000,0.000,0.000,0.000
1.580,0.000,0.000,0.000,0.000
1.600,0.000,0.000,0.000,0.000
1.620,0.000,0.000,0.000,0.000
1.640,0.000,0.000,0.000,0.000
1.660,0.000,0.000,0.000,0.000
1.680,0.000,0.000,0.000,0.000
1.700,0.000,0.000,0.000,0.000
1.720,0.000,0.000,0.000,0.000
1.740,0.000,0.000,0.000,0.000
1.760,0.000,0.000,0.000,0.000
1.780,0.000,0.000,0.000,0.000
1.800,0.000,0.000,0.000,0.000
1.820,0.000,0.000,0.000,0.000
1.840,0.000,0.000,0.000,0.000
1.860,0.000,0.000,0.000,0.000
1.880,0.000,0.000,0.000,0.000
1.900,0.000,0.000,0.000,0.000
1.920,0.000,0.000,0.000,0.000
1.940,0.000,0.000,0.000,0.000
1.960,0.000,0.000,0.000,0.000
1.980,0.000,0.000,0.000,0.000
2.000,1.200,0.000,0.000,0.000
2.020,1.200,0.000,0.026,-0.565
2.040,1.200,0.001,0.087,-0.831
2.060,1.200,0.004,0.168,-0.902
2.080,1.200,0.008,0.256,-0.854
2.100,1.200,0.014,0.346,-0.740
2.120,1.200,0.022,0.431,-0.596
2.140,1.200,0.032,0.510,-0.447
2.160,1.200,0.042,0.581,-0.306
2.180,1.200,0.055,0.642,-0.181
2.200,1.200,0.068,0.696,-0.076
2.220,1.200,0.083,0.741,0.000
2.240,1.200,0.098,0.779,0.000
2.260,1.200,0.114,0.811,0.000
2.280,1.200,0.130,0.839,0.000
2.300,1.200,0.147,0.862,0.000
2.320,1.200,0.165,0.882,0.000
2.340,1.200,0.183,0.898,0.000
2.360,1.200,0.201,0.911,0.000
2.380,1.200,0.219,0.921,0.000
2.400,1.200,0.237,0.929,0.000
2.420,1.200,0.256,0.934,0.000
2.440,1.200,0.275,0.938,0.000
2.460,1.200,0.294,0.939,0.000
2.480,1.200,0.312,0.939,0.000
2.500,1.200,0.331,0.936,0.000
2.520,1.200,0.350,0.933,0.000
2.540,1.200,0.368,0.928,0.000
2.560,1.200,0.387,0.922,0.000
2.580,1.200,0.405,0.915,0.000
2.600,1.200,0.424,0.907,0.000
2.620,1.200,0.442,0.898,0.000
2.640,1.200,0.459,0.888,0.000
2.660,1.200,0.477,0.877,0.000
